Year,Health Plan Type,Plan Name,Measure Name,Submeasure Name,Measure definition,Computed Value,State Average by Carrier Type (Stratified),Utah Average,National Average,Method,Measure ID,Data Element
2014,Commercial PPO,CIGNA,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,0,,48.52,57.6,Not Reported,,
2014,Commercial PPO,EMI Health,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,0,,48.52,57.6,Not Reported,,
2014,Commercial PPO,Humana,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,53.77,,48.52,57.6,Admin+Chart Review,,
2014,Commercial PPO,Regence,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,35.77,,48.52,57.6,Admin+Chart Review,,
2014,Commercial PPO,United Healthcare,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,56.03,,48.52,57.6,Admin+Chart Review,,
2013,Commercial PPO,CIGNA,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,87.14,,84.35,87.17,Administrative,,
2010,Medicaid,Healthy U,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,0,,,55.22,Not Reportable,,
2010,Medicaid,Molina,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,63.46,,,55.22,Admin+Chart Review,,
2011,Medicaid,Healthy U,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,0,,,55.22,Not Reportable,,
2011,Medicaid,Healthy U,Controlling High Blood Pressure,,Percentage of members (18 - 75 years of age) who had their blood pressure under control.,0,,,32.22,Admin+Chart Review,,
2011,Medicaid,Molina,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,63.46,,,55.22,Admin+Chart Review,,
2011,Medicaid,Molina,Controlling High Blood Pressure,,Percentage of members (18 - 75 years of age) who had their blood pressure under control.,46.08,,,32.22,Admin+Chart Review,,
2012,Medicaid,Healthy U,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,0,,,56.78,Not Reported,,
2012,Medicaid,Molina,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,63.66,,,56.78,Admin+Chart Review,,
2013,Medicaid,Healthy U,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,0,,28.24,56.36,Not Reported,,
2013,Medicaid,Molina,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,56.49,,28.24,56.36,Admin+Chart Review,,
2014,Medicaid,Healthy U,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,58.39,,60.79,56.51,Admin+Chart Review,,
2014,Medicaid,Molina,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,58.53,,60.79,56.51,Admin+Chart Review,,
2014,Medicaid,SelectHealth,Controlling High Blood Pressure,,The percentage of members 18 to 85 years of age who had a diagnosis of hypertension (HTN) and whose blood pressure (BP) was adequately controlled (<140/90) during the measurement year. ,65.45,,60.79,56.51,Admin+Chart Review,,
2010,Commercial HMO,Altius,Diabetics who have had a blood glucose test,,Percentage of members (18 - 75 years of age) who had their Hemoglobin A1c tested.,86.84,,88.61,89.05,Admin+Chart Review,,
2010,Commercial HMO,SelectHealth,Diabetics who have had a blood glucose test,,Percentage of members (18 - 75 years of age) who had their Hemoglobin A1c tested.,91.79,,88.61,89.05,Admin+Chart Review,,
2010,Commercial HMO,United,Diabetics who have had a blood glucose test,,Percentage of members (18 - 75 years of age) who had their Hemoglobin A1c tested.,87.19,,88.61,89.05,Admin+Chart Review,,
2017,HMO,Altius Health Plans Inc.,AAP Adult Acc Prev/Amb Hlth Svcs,Rate - Total,,90.81,,,93.85,A,aap,ratetot
2011,Commercial HMO,Altius,Diabetics who have had a blood glucose test,,Percentage of members (18 - 75 years of age) who had their Hemoglobin A1c tested.,86.84,,88.61,89.05,Admin+Chart Review,,
2011,Commercial HMO,SelectHealth,Diabetics who have had a blood glucose test,,Percentage of members (18 - 75 years of age) who had their Hemoglobin A1c tested.,91.79,,88.61,89.05,Admin+Chart Review,,
2011,Commercial HMO,United Healthcare,Diabetics who have had a blood glucose test,,Percentage of members (18 - 75 years of age) who had their Hemoglobin A1c tested.,87.19,,88.61,89.05,Admin+Chart Review,,
2012,Commercial HMO,Altius,Diabetics who have had a blood glucose test,,Percentage of members (18 - 75 years of age) who had their Hemoglobin A1c tested.,88.56,,91,89.56,Administrative,,
2012,Commercial HMO,SelectHealth,Diabetics who have had a blood glucose test,,Percentage of members (18 - 75 years of age) who had their Hemoglobin A1c tested.,93.43,,91,89.56,Admin+Chart Review,,
2013,Commercial HMO,Altius,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,88.96,,91.2,89.76,Admin+Chart Review,,
2013,Commercial HMO,SelectHealth,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,93.43,,91.2,89.76,Admin+Chart Review,,
2014,Commercial HMO,Altius,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,92.65,,92.68,89.76,Admin+Chart Review,,
2014,Commercial HMO,SelectHealth,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,92.7,,92.68,89.76,Admin+Chart Review,,
2013,Commercial PPO,Aetna,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,82.5,,84.35,87.17,Administrative,,
2013,Commercial PPO,Humana,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,88.08,,84.35,87.17,Admin+Chart Review,,
2013,Commercial PPO,Regence,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,75.89,,84.35,87.17,Administrative,,
2013,Commercial PPO,United Healthcare,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,88.16,,84.35,87.17,Admin+Chart Review,,
2014,Commercial PPO,Aetna,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,85.03,,,87.3,Administrative,,
2014,Commercial PPO,CIGNA,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,88.15,,,87.3,Administrative,,
2014,Commercial PPO,EMI Health,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,85.73,,,87.3,Administrative,,
2014,Commercial PPO,Humana,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,83.27,,,87.3,Admin+Chart Review,,
2014,Commercial PPO,Regence,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,84.91,,,87.3,Admin+Chart Review,,
2014,Commercial PPO,United Healthcare,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,89.88,,,87.3,Admin+Chart Review,,
2010,Medicaid,Healthy U,Diabetics who have had a blood glucose test,,Percentage of members (18 - 75 years of age) who had their Hemoglobin A1c tested.,85.89,,86.63,80.61,Admin+Chart Review,,
2010,Medicaid,Molina,Diabetics who have had a blood glucose test,,Percentage of members (18 - 75 years of age) who had their Hemoglobin A1c tested.,87.38,,86.63,80.61,Admin+Chart Review,,
2011,Medicaid,Healthy U,Diabetics who have had a blood glucose test,,Percentage of members (18 - 75 years of age) who had their Hemoglobin A1c tested.,85.89,,86.63,80.61,Admin+Chart Review,,
2011,Medicaid,Molina,Diabetics who have had a blood glucose test,,Percentage of members (18 - 75 years of age) who had their Hemoglobin A1c tested.,87.38,,86.63,80.61,Admin+Chart Review,,
2012,Medicaid,Healthy U,Diabetics who have had a blood glucose test,,Percentage of members (18 - 75 years of age) who had their Hemoglobin A1c tested.,83.05,,86.36,82.53,Admin+Chart Review,,
2012,Medicaid,Molina,Diabetics who have had a blood glucose test,,Percentage of members (18 - 75 years of age) who had their Hemoglobin A1c tested.,89.66,,86.36,82.53,Admin+Chart Review,,
2013,Medicaid,Healthy U,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,83.05,,86.36,82.98,Admin+Chart Review,,
2013,Medicaid,Molina,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,89.66,,86.36,82.98,Admin+Chart Review,,
2014,Medicaid,Healthy U,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,82.39,,86.37,83.81,Admin+Chart Review,,
2014,Medicaid,Molina,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,82.75,,86.37,83.81,Admin+Chart Review,,
2014,Medicaid,SelectHealth,Diabetics who have had a blood glucose test,,Percentage of members with diabetes (18 - 75 years of age) who had their Hemoglobin A1c tested.,93.98,,86.37,83.81,Admin+Chart Review,,
2012,Commercial HMO,Altius,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,73.88,,77.54,84.89,Administrative,,
2012,Commercial HMO,SelectHealth,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,81.2,,77.54,84.89,Admin+Chart Review,,
2013,Commercial HMO,Altius,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,75.68,,79.36,85.22,Admin+Chart Review,,
2013,Commercial HMO,SelectHealth,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,83.03,,79.36,85.22,Admin+Chart Review,,
2014,Commercial HMO,Altius,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,81.51,,81.63,85.22,Admin+Chart Review,,
2014,Commercial HMO,SelectHealth,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,81.75,,81.63,85.22,Admin+Chart Review,,
2013,Commercial PPO,Aetna,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,69.86,,71.7,83.66,Administrative,,
2013,Commercial PPO,CIGNA,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,72.48,,71.7,83.66,Administrative,,
2013,Commercial PPO,Humana,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,76.89,,71.7,83.66,Admin+Chart Review,,
2013,Commercial PPO,Regence,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,64.95,,71.7,83.66,Administrative,,
2013,Commercial PPO,United Healthcare,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,74.32,,71.7,83.66,Admin+Chart Review,,
2014,Commercial PPO,Aetna,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,72.63,,,81.31,Administrative,,
2014,Commercial PPO,CIGNA,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,73.67,,,81.31,Administrative,,
2011,Medicaid,Molina,Diabetics who have had an eye exam,,Percentage of members (18 - 75 years of age) who had an eye exam.,65,,62.67,52.65,Admin+Chart Review,,
2014,Commercial PPO,EMI Health,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,68.75,,,81.31,Administrative,,
2014,Commercial PPO,Humana,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,74.9,,,81.31,Admin+Chart Review,,
2014,Commercial PPO,Regence,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,74.94,,,81.31,Admin+Chart Review,,
2014,Commercial PPO,United Healthcare,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,76.71,,,81.31,Admin+Chart Review,,
2010,Medicaid,Healthy U,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,72.99,,74.95,74.22,Admin+Chart Review,,
2017,HMO,Altius Health Plans Inc.,ABA Adult BMI Assessment,Reported Rate,,80.21,,,77.65,H,aba,rate
2010,Medicaid,Molina,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,76.9,,74.95,74.22,Admin+Chart Review,,
2011,Medicaid,Healthy U,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,72.99,,74.95,74.22,Admin+Chart Review,,
2011,Medicaid,Molina,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,76.9,,74.95,74.22,Admin+Chart Review,,
2012,Medicaid,Healthy U,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,70.52,,71.8,75,Admin+Chart Review,,
2012,Medicaid,Molina,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,73.08,,71.8,75,Admin+Chart Review,,
2013,Medicaid,Healthy U,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,70.52,,73.57,75.56,Admin+Chart Review,,
2013,Medicaid,Molina,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,76.61,,73.57,75.56,Admin+Chart Review,,
2014,Medicaid,Healthy U,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,54.99,,66.85,75.97,Administrative,,
2014,Medicaid,Molina,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,71.1,,66.85,75.97,Admin+Chart Review,,
2014,Medicaid,SelectHealth,Diabetics who have had a cholesterol screening,,Percentage of members with diabetes (18 - 75 years of age) who had their LDL-C screened.,74.45,,66.85,75.97,Admin+Chart Review,,
2010,Commercial HMO,Altius,Diabetics who have had a kidney function test,,Percentage of members (18 - 75 years of age) who had a test for diabetic nephropathy.,76.21,,78.84,82.32,Admin+Chart Review,,
2010,Commercial HMO,SelectHealth,Diabetics who have had a kidney function test,,Percentage of members (18 - 75 years of age) who had a test for diabetic nephropathy.,85.04,,78.84,82.32,Admin+Chart Review,,
2010,Commercial HMO,United,Diabetics who have had a kidney function test,,Percentage of members (18 - 75 years of age) who had a test for diabetic nephropathy.,75.26,,78.84,82.32,Admin+Chart Review,,
2011,Commercial HMO,Altius,Diabetics who have had a kidney function test,,Percentage of members (18 - 75 years of age) who had a test for diabetic nephropathy.,76.21,,78.84,82.32,Admin+Chart Review,,
2011,Commercial HMO,SelectHealth,Diabetics who have had a kidney function test,,Percentage of members (18 - 75 years of age) who had a test for diabetic nephropathy.,85.04,,78.84,82.32,Admin+Chart Review,,
2011,Commercial HMO,United Healthcare,Diabetics who have had a kidney function test,,Percentage of members (18 - 75 years of age) who had a test for diabetic nephropathy.,75.26,,78.84,82.32,Admin+Chart Review,,
2012,Commercial HMO,Altius,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,77.52,,82.19,83.14,Administrative,,
2012,Commercial HMO,SelectHealth,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,86.86,,82.19,83.14,Admin+Chart Review,,
2013,Commercial HMO,Altius,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,77.25,,82.79,83.7,Admin+Chart Review,,
2013,Commercial HMO,SelectHealth,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,88.32,,82.79,83.7,Admin+Chart Review,,
2014,Commercial HMO,Altius,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,84.86,,86.04,83.7,Admin+Chart Review,,
2014,Commercial HMO,SelectHealth,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,87.23,,86.04,83.7,Admin+Chart Review,,
2010,Commercial HMO,United,Diabetics who have had an eye exam,,Percentage of members (18 - 75 years of age) who had an eye exam.,42.98,,53.55,55.65,Admin+Chart Review,,
2013,Commercial PPO,Aetna,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,67.5,,71.21,78.59,Administrative,,
2013,Commercial PPO,CIGNA,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,72.92,,71.21,78.59,Administrative,,
2013,Commercial PPO,Humana,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,73.24,,71.21,78.59,Admin+Chart Review,,
2013,Commercial PPO,Regence,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,63.72,,71.21,78.59,Administrative,,
2013,Commercial PPO,United Healthcare,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,78.69,,71.21,78.59,Admin+Chart Review,,
2014,Commercial PPO,Aetna,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,71.05,,,78.83,Administrative,,
2014,Commercial PPO,CIGNA,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,72.63,,,78.83,Administrative,,
2014,Commercial PPO,EMI Health,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,79.1,,,78.83,Administrative,,
2014,Commercial PPO,Humana,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,73,,,78.83,Admin+Chart Review,,
2014,Commercial PPO,Regence,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,75.67,,,78.83,Admin+Chart Review,,
2014,Commercial PPO,United Healthcare,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,78.35,,,78.83,Admin+Chart Review,,
2010,Medicaid,Healthy U,Diabetics who have had a kidney function test,,Percentage of members (18 - 75 years of age) who had a test for diabetic nephropathy.,80.05,,79.91,76.93,Admin+Chart Review,,
2010,Medicaid,Molina,Diabetics who have had a kidney function test,,Percentage of members (18 - 75 years of age) who had a test for diabetic nephropathy.,79.76,,79.91,76.93,Admin+Chart Review,,
2011,Medicaid,Healthy U,Diabetics who have had a kidney function test,,Percentage of members (18 - 75 years of age) who had a test for diabetic nephropathy.,80.05,,79.91,76.93,Admin+Chart Review,,
2011,Medicaid,Molina,Diabetics who have had a kidney function test,,Percentage of members (18 - 75 years of age) who had a test for diabetic nephropathy.,79.76,,79.91,76.93,Admin+Chart Review,,
2012,Medicaid,Healthy U,Diabetics who have had a kidney function test,,Percentage of members (18 - 75 years of age) who had a test for diabetic nephropathy.,67.32,,75.25,77.84,Admin+Chart Review,,
2012,Medicaid,Molina,Diabetics who have had a kidney function test,,Percentage of members (18 - 75 years of age) who had a test for diabetic nephropathy.,83.17,,75.25,77.84,Admin+Chart Review,,
2013,Medicaid,Healthy U,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,67.32,,75.25,78.38,Admin+Chart Review,,
2013,Medicaid,Molina,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,83.17,,75.25,78.38,Admin+Chart Review,,
2014,Medicaid,Healthy U,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,64.19,,77.85,79.02,Administrative,,
2014,Medicaid,Molina,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,77.39,,77.85,79.02,Admin+Chart Review,,
2014,Medicaid,SelectHealth,Diabetics who have had a kidney function test,,Percentage of members with diabetes (18 - 75 years of age) who had a test for diabetic nephropathy.,91.97,,77.85,79.02,Admin+Chart Review,,
2010,Commercial HMO,Altius,Diabetics who have had an eye exam,,Percentage of members (18 - 75 years of age) who had an eye exam.,55.43,,53.55,55.65,Admin+Chart Review,,
2010,Commercial HMO,SelectHealth,Diabetics who have had an eye exam,,Percentage of members (18 - 75 years of age) who had an eye exam.,62.23,,53.55,55.65,Admin+Chart Review,,
2011,Commercial HMO,SelectHealth,Diabetics who have had an eye exam,,Percentage of members (18 - 75 years of age) who had an eye exam.,62.23,,53.55,55.65,Admin+Chart Review,,
2011,Commercial HMO,United Healthcare,Diabetics who have had an eye exam,,Percentage of members (18 - 75 years of age) who had an eye exam.,42.98,,53.55,55.65,Admin+Chart Review,,
2012,Commercial HMO,Altius,Diabetics who have had an eye exam,,Percentage of members (18 - 75 years of age) who had an eye exam.,61.03,,60.17,55.62,Administrative,,
2013,Commercial HMO,Altius,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,59.01,,61.35,55.7,Admin+Chart Review,,
2013,Commercial HMO,SelectHealth,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,63.69,,61.35,55.7,Admin+Chart Review,,
2014,Commercial HMO,Altius,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,59.69,,62.97,55.7,Admin+Chart Review,,
2014,Commercial HMO,SelectHealth,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,66.24,,62.97,55.7,Admin+Chart Review,,
2013,Commercial PPO,Aetna,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,32.26,,36.58,48.8,Administrative,,
2013,Commercial PPO,CIGNA,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,27.57,,36.58,48.8,Administrative,,
2013,Commercial PPO,Humana,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,38.44,,36.58,48.8,Admin+Chart Review,,
2013,Commercial PPO,Regence,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,39.46,,36.58,48.8,Administrative,,
2013,Commercial PPO,United Healthcare,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,45.17,,36.58,48.8,Admin+Chart Review,,
2014,Commercial PPO,Aetna,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,32.28,,,46.88,Not Reported,,
2014,Commercial PPO,CIGNA,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,30.59,,,46.88,Administrative,,
2014,Commercial PPO,EMI Health,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,45.71,,,46.88,Administrative,,
2014,Commercial PPO,Humana,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,33.08,,,46.88,Admin+Chart Review,,
2014,Commercial PPO,Regence,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,45.5,,,46.88,Admin+Chart Review,,
2014,Commercial PPO,United Healthcare,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,45.18,,,46.88,Admin+Chart Review,,
2010,Medicaid,Healthy U,Diabetics who have had an eye exam,,Percentage of members (18 - 75 years of age) who had an eye exam.,60.34,,62.67,52.65,Admin+Chart Review,,
2010,Medicaid,Molina,Diabetics who have had an eye exam,,Percentage of members (18 - 75 years of age) who had an eye exam.,65,,62.67,52.65,Admin+Chart Review,,
2011,Medicaid,Healthy U,Diabetics who have had an eye exam,,Percentage of members (18 - 75 years of age) who had an eye exam.,60.34,,62.67,52.65,Admin+Chart Review,,
2013,Medicaid,Healthy U,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,52.33,,58.23,53.17,Admin+Chart Review,,
2013,Medicaid,Molina,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,64.14,,58.23,53.17,Admin+Chart Review,,
2014,Medicaid,Healthy U,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,44.23,,52.64,53.53,Admin+Chart Review,,
2014,Medicaid,Molina,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,57.11,,52.64,53.53,Admin+Chart Review,,
2014,Medicaid,SelectHealth,Diabetics who have had an eye exam,,Percentage of members with diabetes (18 - 75 years of age) who had an eye exam.,56.57,,52.64,53.53,Admin+Chart Review,,
2010,Commercial HMO,Altius,Diabetics who have high blood glucose levels (lower is better),,Percentage of members (18 - 75 years of age) who have poor HbA1c control.,26.56,,26.19,28.12,Admin+Chart Review,,
2010,Commercial HMO,SelectHealth,Diabetics who have high blood glucose levels (lower is better),,Percentage of members (18 - 75 years of age) who have poor HbA1c control.,20.26,,26.19,28.12,Admin+Chart Review,,
2010,Commercial HMO,United,Diabetics who have high blood glucose levels (lower is better),,Percentage of members (18 - 75 years of age) who have poor HbA1c control.,31.75,,26.19,28.12,Admin+Chart Review,,
2011,Commercial HMO,Altius,Diabetics who have high blood glucose levels (lower is better),,Percentage of members (18 - 75 years of age) who have poor HbA1c control. (Lower Rate is Better),26.56,,26.19,28.12,Admin+Chart Review,,
